; CSV, generated by libsigrok4DSL 0.2.0 on Fri May 14 15:18:28 2021
-1.496,2.087
-1.417,2.047
-1.417,2.087
-1.417,2.087
-1.417,2.087
-1.496,2.047
-1.417,2.047
-1.496,2.047
-1.496,2.087
-1.496,2.087
-1.417,2.087
-1.496,2.047
-1.496,2.008
-1.496,2.087
-1.496,2.087
-1.496,2.047
-1.496,2.047
-1.496,2.087
-1.496,2.087
-1.496,2.047
-1.496,2.087
-1.496,2.047
-1.496,2.047
-1.496,2.047
-1.496,2.087
-1.496,2.047
-1.496,2.047
-1.496,2.047
-1.496,2.047
-1.496,2.008
-1.496,2.047
-1.496,2.008
-1.496,2.047
-1.496,2.008
-1.496,2.008
-1.496,2.047
-1.496,2.047
-1.496,2.008
-1.496,2.008
-1.496,2.008
-1.496,2.087
-1.575,2.087
-1.496,2.047
-1.496,2.008
-1.496,2.087
-1.496,2.008
-1.575,2.087
-1.496,2.087
-1.496,2.087
-1.496,2.008
-1.496,2.047
-1.496,2.047
-1.575,2.087
-1.496,2.008
-1.575,2.008
-1.575,2.087
-1.496,2.008
-1.575,2.008
-1.575,2.087
-1.575,2.008
-1.575,2.087
-1.575,2.008
-1.575,2.008
-1.575,2.047
-1.575,2.008
-1.496,2.008
-1.575,2.008
-1.496,2.087
-1.575,2.008
-1.575,2.087
-1.575,2.008
-1.575,2.008
-1.496,2.047
-1.496,2.008
-1.575,2.047
-1.575,2.008
-1.575,2.008
-1.575,2.008
-1.575,2.087
-1.575,2.008
-1.575,2.047
-1.654,2.008
-1.575,2.047
-1.575,2.008
-1.654,2.047
-1.575,2.008
-1.654,2.008
-1.575,2.008
-1.654,2.047
-1.654,2.008
-1.575,2.008
-1.654,2.008
-1.654,2.008
-1.654,2.008
-1.654,2.047
-1.654,2.008
-1.654,2.008
-1.654,2.047
-1.654,2.008
-1.654,2.008
-1.654,2.047
-1.654,2.047
-1.654,2.008
-1.654,2.008
-1.732,2.008
-1.654,2.087
-1.654,2.047
-1.732,2.047
-1.732,2.047
-1.732,2.087
-1.654,2.047
-1.732,2.087
-1.732,2.008
-1.732,2.087
-1.732,2.047
-1.732,2.008
-1.732,2.087
-1.732,2.047
-1.732,2.087
-1.732,2.047
-1.732,2.047
-1.732,2.087
-1.732,2.087
-1.732,2.087
-1.732,2.087
-1.732,2.087
-1.732,2.087
-1.811,2.087
-1.732,2.087
-1.732,2.087
-1.732,2.087
-1.732,2.087
-1.732,2.087
-1.811,2.087
-1.811,2.087
-1.811,2.087
-1.811,2.087
-1.732,2.047
-1.811,2.126
-1.811,2.087
-1.811,2.087
-1.811,2.087
-1.811,2.087
-1.811,2.087
-1.811,2.087
-1.811,2.087
-1.732,2.126
-1.811,2.087
-1.811,2.126
-1.811,2.087
-1.811,2.126
-1.811,2.126
-1.811,2.087
-1.811,2.126
-1.811,2.126
-1.811,2.087
-1.811,2.126
-1.811,2.087
-1.811,2.126
-1.811,2.126
-1.811,2.126
-1.811,2.126
-1.811,2.126
-1.811,2.126
-1.811,2.126
-1.811,2.126
-1.811,2.126
-1.811,2.165
-1.811,2.087
-1.811,2.126
-1.811,2.126
-1.890,2.126
-1.811,2.126
-1.811,2.087
-1.811,2.126
-1.811,2.126
-1.811,2.126
-1.811,2.165
-1.811,2.165
-1.890,2.087
-1.811,2.165
-1.890,2.126
-1.811,2.126
-1.811,2.165
-1.811,2.126
-1.811,2.165
-1.890,2.126
-1.811,2.126
-1.811,2.165
-1.890,2.087
-1.890,2.087
-1.890,2.165
-1.890,2.087
-1.890,2.087
-1.890,2.165
-1.890,2.165
-1.811,2.047
-1.890,2.126
-1.890,2.165
-1.890,2.126
-1.890,2.087
-1.811,2.126
-1.890,2.126
-1.890,2.087
-1.890,2.087
-1.890,2.165
-1.969,2.087
-1.890,2.087
-1.890,2.087
-1.890,2.126
-1.890,2.087
-1.890,2.087
-1.890,2.126
-1.890,2.087
-1.969,2.087
-1.890,2.087
-1.890,2.126
-1.969,2.087
-1.890,2.087
-1.969,2.087
-1.890,2.087
-1.969,2.087
-1.890,2.087
-1.969,2.087
-1.890,2.087
-1.969,2.087
-1.969,2.087
-1.969,2.087
-1.890,2.087
-1.969,2.087
-1.969,2.087
-1.890,2.087
-1.890,2.087
-1.969,2.047
-1.969,2.047
-1.969,2.126
-1.969,2.087
-1.890,2.087
-1.969,2.087
-1.969,2.087
-1.969,2.087
-1.969,2.087
-1.969,2.047
-1.969,2.087
-1.969,2.087
-1.969,2.087
-1.969,2.126
-1.969,2.008
-1.969,2.087
-1.969,2.087
-1.969,2.008
-1.969,2.087
-1.969,2.047
-1.969,2.047
-1.969,2.087
-1.969,2.008
-1.969,2.087
-1.969,2.087
-1.969,2.008
-1.969,2.047
-1.969,2.047
-1.969,2.008
-1.969,2.008
-1.969,2.047
-1.969,2.047
-1.969,2.087
-1.969,2.047
-1.969,2.047
-1.969,2.126
-1.969,2.008
-1.969,2.087
-2.047,2.047
-1.969,2.047
-1.969,2.087
-1.969,2.047
-1.969,2.047
-1.969,2.087
-1.969,2.008
-1.969,2.087
-1.969,2.087
-1.969,2.047
-1.969,2.087
-1.969,2.087
-2.047,2.087
-2.047,2.087
-1.969,2.087
-1.969,2.087
-2.047,2.087
-1.969,2.087
-2.047,2.087
-2.047,2.087
-2.047,2.087
-2.047,2.087
-2.047,2.087
-2.047,2.087
-2.047,2.087
-2.047,2.087
-2.047,2.087
-2.047,2.087
-2.047,2.126
-2.047,2.087
-2.047,2.087
-2.047,2.087
-2.047,2.087
-2.047,2.087
-2.047,2.087
-2.047,2.087
-2.047,2.126
-2.047,2.126
-2.047,2.087
-2.047,2.087
-2.047,2.126
-2.047,2.087
-2.047,2.087
-2.126,2.087
-2.047,2.126
-2.126,2.087
-2.047,2.087
-2.126,2.087
-2.047,2.087
-2.047,2.087
-2.047,2.126
-2.047,2.126
-2.047,2.087
-2.047,2.087
-2.126,2.126
-2.047,2.126
-2.126,2.126
-2.126,2.087
-2.047,2.126
-2.047,2.087
-2.126,2.126
-2.126,2.126
-2.126,2.126
-2.047,2.126
-2.126,2.126
-2.126,2.126
-2.126,2.126
-2.126,2.126
-2.126,2.126
-2.126,2.126
-2.126,2.165
-2.126,2.087
-2.126,2.165
-2.126,2.126
-2.126,2.126
-2.126,2.126
-2.126,2.126
-2.126,2.126
-2.126,2.126
-2.126,2.126
-2.126,2.087
-2.126,2.126
-2.126,2.165
-2.126,2.087
-2.126,2.126
-2.126,2.165
-2.126,2.087
-2.126,2.165
-2.205,2.165
-2.126,2.126
-2.126,2.126
-2.126,2.126
-2.126,2.126
-2.126,2.126
-2.126,2.126
-2.126,2.126
-2.126,2.165
-2.126,2.126
-2.126,2.126
-2.126,2.165
-2.126,2.126
-2.126,2.126
-2.126,2.165
-2.205,2.126
-2.126,2.165
-2.126,2.165
-2.126,2.165
-2.126,2.126
-2.205,2.165
-2.126,2.126
-2.126,2.126
-2.126,2.165
-2.126,2.087
-2.126,2.165
-2.126,2.165
-2.205,2.126
-2.205,2.165
-2.205,2.126
-2.205,2.126
-2.205,2.126
-2.205,2.126
-2.205,2.126
-2.205,2.165
-2.205,2.126
-2.205,2.165
-2.205,2.165
-2.205,2.165
-2.205,2.126
-2.205,2.126
-2.205,2.165
-2.205,2.126
-2.205,2.126
-2.205,2.126
-2.283,2.126
-2.205,2.126
-2.205,2.126
-2.283,2.126
-2.205,2.126
-2.205,2.126
-2.205,2.126
-2.205,2.126
-2.205,2.126
-2.205,2.126
-2.205,2.126
-2.205,2.165
-2.205,2.087
-2.205,2.126
-2.205,2.165
-2.205,2.087
-2.283,2.087
-2.205,2.165
-2.205,2.126
-2.283,2.087
-2.283,2.126
-2.205,2.165
-2.283,2.087
-2.283,2.087
-2.205,2.165
-2.205,2.126
-2.283,2.087
-2.283,2.126
-2.283,2.165
-2.283,2.087
-2.283,2.087
-2.283,2.126
-2.283,2.126
-2.283,2.087
-2.205,2.126
-2.283,2.126
-2.283,2.126
-2.283,2.087
-2.283,2.126
-2.283,2.126
-2.205,2.087
-2.283,2.126
-2.283,2.126
-2.283,2.087
-2.283,2.087
-2.283,2.087
-2.283,2.087
-2.283,2.087
-2.205,2.165
-2.283,2.008
-2.283,2.126
-2.283,2.087
-2.283,2.087
-2.283,2.087
-2.283,2.087
-2.283,2.087
-2.283,2.087
-2.283,2.087
-2.283,2.087
-2.283,2.087
-2.205,2.087
-2.283,2.087
-2.283,2.087
-2.283,2.087
-2.283,2.087
-2.283,2.087
-2.283,2.126
-2.283,2.047
-2.283,2.087
-2.283,2.087
-2.283,2.047
-2.283,2.087
-2.283,2.087
-2.283,2.008
-2.283,2.087
-2.283,2.087
-2.283,2.126
-2.362,2.126
-2.283,2.087
-2.283,2.087
-2.362,2.087
-2.283,2.087
-2.283,2.126
-2.283,2.087
-2.283,2.087
-2.283,2.126
-2.362,2.087
-2.283,2.087
-2.283,2.087
-2.283,2.126
-2.283,2.126
-2.362,2.087
-2.283,2.087
-2.283,2.126
-2.362,2.087
-2.362,2.087
-2.362,2.126
-2.362,2.126
-2.283,2.087
-2.362,2.126
-2.362,2.126
-2.283,2.087
-2.362,2.126
-2.362,2.126
-2.362,2.126
-2.362,2.126
-2.362,2.126
-2.362,2.126
-2.362,2.126
-2.362,2.126
-2.362,2.126
-2.362,2.126
-2.362,2.126
-2.283,2.126
-2.362,2.126
-2.362,2.126
-2.362,2.126
-2.362,2.126
-2.362,2.126
-2.362,2.126
-2.362,2.126
-2.362,2.165
-2.362,2.126
-2.362,2.126
-2.362,2.126
-2.362,2.165
-2.362,2.126
-2.362,2.165
-2.362,2.126
-2.362,2.126
-2.362,2.126
-2.362,2.165
-2.441,2.087
-2.362,2.165
-2.362,2.165
-2.362,2.126
-2.441,2.165
-2.362,2.165
-2.362,2.126
-2.441,2.126
-2.362,2.165
-2.441,2.165
-2.441,2.165
-2.441,2.165
-2.441,2.126
-2.441,2.165
-2.441,2.165
-2.441,2.165
-2.441,2.165
-2.441,2.165
-2.362,2.165
-2.441,2.165
-2.362,2.165
-2.441,2.165
-2.441,2.244
-2.362,2.126
-2.441,2.165
-2.441,2.165
-2.441,2.126
-2.441,2.165
-2.441,2.165
-2.441,2.165
-2.441,2.165
-2.441,2.165
-2.441,2.165
-2.441,2.126
-2.441,2.205
-2.441,2.165
-2.441,2.165
-2.441,2.165
-2.441,2.165
-2.441,2.165
-2.441,2.165
-2.441,2.165
-2.441,2.165
-2.441,2.165
-2.441,2.126
-2.441,2.165
-2.441,2.126
-2.441,2.165
-2.441,2.165
-2.441,2.165
-2.441,2.165
-2.441,2.165
-2.441,2.165
-2.441,2.165
-2.441,2.165
-2.441,2.165
-2.441,2.165
-2.441,2.165
-2.441,2.165
-2.441,2.165
-2.441,2.165
-2.441,2.165
-2.441,2.165
-2.441,2.165
-2.441,2.165
-2.441,2.165
-2.441,2.165
-2.441,2.165
-2.441,2.165
-2.441,2.165
-2.441,2.165
-2.441,2.165
-2.441,2.126
-2.441,2.165
-2.441,2.126
-2.441,2.165
-2.441,2.165
-2.441,2.126
-2.441,2.126
-2.441,2.126
-2.441,2.126
-2.441,2.126
-2.441,2.126
-2.441,2.126
-2.441,2.165
-2.520,2.126
-2.441,2.165
-2.441,2.165
-2.441,2.126
-2.441,2.165
-2.441,2.126
-2.441,2.126
-2.441,2.126
-2.441,2.126
-2.441,2.126
-2.441,2.165
-2.441,2.126
-2.441,2.126
-2.441,2.126
-2.441,2.126
-2.441,2.126
-2.441,2.126
-2.441,2.126
-2.441,2.126
-2.441,2.126
-2.441,2.087
-2.441,2.126
-2.441,2.126
-2.441,2.126
-2.441,2.165
-2.520,2.087
-2.441,2.126
-2.441,2.165
-2.441,2.087
-2.441,2.087
-2.441,2.165
-2.441,2.126
-2.441,2.008
-2.441,2.126
-2.441,2.126
-2.441,2.126
-2.441,2.087
-2.520,2.165
-2.441,2.165
-2.520,2.047
-2.441,2.087
-2.441,2.165
-2.441,2.087
-2.441,2.087
-2.441,2.126
-2.441,2.126
-2.441,2.087
-2.441,2.087
-2.520,2.165
-2.520,2.126
-2.441,2.047
-2.441,2.165
-2.441,2.598
-2.441,3.425
-2.441,4.134
-2.441,3.858
-2.362,3.583
-2.362,4.134
-2.362,4.449
-2.205,3.858
-2.205,3.976
-2.205,4.134
-2.126,4.213
-2.047,3.740
-2.126,4.173
-1.969,4.055
-1.969,3.898
-1.969,3.740
-1.811,3.898
-1.811,3.898
-1.811,3.819
-1.732,3.819
-1.732,3.976
-1.732,3.819
-1.654,3.740
-1.654,3.819
-1.575,3.898
-1.496,3.583
-1.496,3.740
-1.496,3.858
-1.417,3.701
-1.417,3.583
-1.339,3.740
-1.339,3.701
-1.260,3.583
-1.181,3.661
-1.181,3.701
-1.181,3.583
-1.102,3.583
-1.102,3.622
-1.024,3.583
-0.945,3.583
-0.866,3.504
-0.866,3.583
-0.866,3.504
-0.787,3.425
-0.787,3.425
-0.787,3.425
-0.709,3.346
-0.709,3.307
-0.630,3.346
-0.551,3.346
-0.551,3.346
-0.551,3.386
-0.551,3.425
-0.472,3.425
-0.472,3.425
-0.394,3.504
-0.315,3.504
-0.315,3.504
-0.236,3.504
-0.236,3.425
-0.236,3.425
-0.236,3.425
-0.157,3.425
-0.157,3.346
-0.079,3.386
-0.079,3.386
-0.079,3.346
0.000,3.425
0.079,3.425
0.079,3.465
0.079,3.504
0.079,3.504
0.079,3.583
0.157,3.583
0.157,3.583
0.236,3.583
0.236,3.622
0.236,3.583
0.315,3.583
0.315,3.583
0.394,3.543
0.394,3.543
0.394,3.583
0.394,3.583
0.551,3.583
0.551,3.583
0.551,3.583
0.551,3.701
0.630,3.661
0.630,3.701
0.630,3.740
0.709,3.740
0.709,3.740
0.709,3.740
0.787,3.740
0.787,3.740
0.787,3.740
0.866,3.740
0.866,3.701
0.866,3.740
0.945,3.740
1.024,3.701
1.024,3.740
1.024,3.740
1.024,3.740
1.102,3.780
1.102,3.740
1.102,3.740
1.102,3.819
1.181,3.819
1.260,3.819
1.260,3.740
1.260,3.780
1.260,3.819
1.339,3.740
1.339,3.740
1.339,3.740
1.339,3.740
1.417,3.701
1.417,3.701
1.496,3.740
1.496,3.740
1.575,3.740
1.575,3.740
1.654,3.740
1.654,3.740
1.654,3.740
1.654,3.740
1.732,3.740
1.811,3.661
1.811,3.740
1.811,3.661
1.890,3.622
1.890,3.583
1.969,3.583
1.890,3.583
1.969,3.543
1.969,3.543
2.047,3.543
2.047,3.543
2.126,3.543
2.126,3.583
2.126,3.543
2.205,3.583
2.205,3.543
2.283,3.504
2.283,3.504
2.283,3.465
2.283,3.425
2.362,3.425
2.362,3.425
2.441,3.346
2.441,3.346
2.520,3.346
2.520,3.346
2.520,3.346
2.598,3.346
2.598,3.346
2.598,3.346
2.677,3.346
2.677,3.346
2.677,3.346
2.677,3.386
2.756,3.346
2.756,3.268
2.835,3.268
2.913,3.268
2.835,3.268
2.913,3.189
2.913,3.228
2.992,3.228
2.992,3.189
2.992,3.189
2.992,3.228
3.071,3.189
3.071,3.268
3.150,3.268
3.150,3.228
3.228,3.268
3.228,3.268
3.228,3.228
3.228,3.268
3.228,3.268
3.307,3.228
3.307,3.268
3.307,3.228
3.307,3.189
3.386,3.228
3.386,3.228
3.465,3.228
3.465,3.268
3.465,3.268
3.543,3.268
3.543,3.268
3.543,3.268
3.622,3.268
3.622,3.346
3.622,3.346
3.543,3.386
3.701,3.307
3.701,3.346
3.701,3.346
3.780,3.346
3.701,3.346
3.701,3.268
3.780,3.346
3.858,3.346
3.858,3.268
3.858,3.346
3.858,3.425
3.858,3.386
3.858,3.346
3.937,3.425
3.937,3.425
3.937,3.386
4.016,3.425
3.937,3.504
4.094,3.425
4.016,3.425
4.173,3.425
4.173,3.425
4.173,3.425
4.173,3.425
4.173,3.504
4.252,3.425
4.252,3.425
4.252,3.504
4.331,3.504
4.252,3.425
4.331,3.504
4.409,3.504
4.409,3.504
4.409,3.504
4.409,3.504
4.488,3.504
4.488,3.465
4.488,3.504
4.488,3.465
4.488,3.425
4.567,3.425
4.567,3.425
4.567,3.425
4.567,3.425
4.646,3.425
4.567,3.425
4.646,3.425
4.646,3.425
4.724,3.425
4.803,3.425
4.803,3.425
4.803,3.425
4.803,3.425
4.803,3.425
4.803,3.425
4.882,3.386
4.882,3.386
4.882,3.346
4.961,3.346
4.961,3.346
4.961,3.346
4.961,3.346
4.961,3.346
5.039,3.268
5.039,3.268
5.118,3.268
5.039,3.346
5.118,3.268
5.197,3.268
5.118,3.268
5.197,3.268
5.197,3.228
5.197,3.268
5.276,3.268
5.276,3.228
5.276,3.189
5.354,3.189
5.354,3.189
5.433,3.150
5.354,3.228
5.354,3.110
5.433,3.150
5.433,3.150
5.433,3.110
5.512,3.189
5.512,3.110
5.512,3.150
5.512,3.110
5.512,3.110
5.512,3.189
5.512,3.110
5.591,3.110
5.591,3.110
5.669,3.110
5.669,3.110
5.669,3.071
5.748,3.110
5.669,3.110
5.748,3.110
5.748,3.110
5.748,3.110
5.827,3.110
5.827,3.110
5.827,3.110
5.827,3.189
5.827,3.110
5.906,3.110
5.906,3.189
5.906,3.110
5.984,3.110
5.906,3.110
5.984,3.110
5.984,3.110
5.984,3.110
6.063,3.110
6.063,3.150
6.063,3.110
6.063,3.110
6.063,3.189
6.142,3.189
6.063,3.110
6.142,3.189
6.142,3.189
6.142,3.189
6.220,3.189
6.220,3.189
6.220,3.189
6.142,3.228
6.299,3.189
6.220,3.228
6.299,3.228
6.299,3.228
6.299,3.228
6.378,3.228
6.378,3.228
6.378,3.268
6.378,3.268
6.378,3.268
6.378,3.268
6.378,3.268
6.378,3.268
6.457,3.268
6.457,3.268
6.457,3.268
6.457,3.268
6.457,3.268
6.535,3.268
6.457,3.268
6.535,3.268
6.535,3.268
6.535,3.268
6.614,3.268
6.535,3.268
6.614,3.268
6.614,3.268
6.614,3.268
6.693,3.268
6.693,3.268
6.693,3.268
6.693,3.268
6.772,3.268
6.693,3.268
6.772,3.228
6.772,3.228
6.772,3.268
6.772,3.228
6.772,3.228
6.772,3.189
6.850,3.189
6.850,3.228
6.850,3.189
6.929,3.228
6.929,3.189
6.850,3.189
6.929,3.189
7.008,3.189
7.008,3.189
7.008,3.150
7.008,3.110
7.008,3.150
7.008,3.110
7.008,3.110
7.087,3.110
7.087,3.110
7.087,3.110
7.087,3.110
7.087,3.110
7.087,3.071
7.165,3.110
7.165,3.071
7.165,3.071
7.165,3.071
7.165,2.992
7.165,3.071
7.244,3.031
7.244,2.992
7.323,3.031
7.323,2.953
7.323,2.953
7.323,2.992
7.323,2.953
7.323,2.953
7.323,3.031
7.323,2.953
7.402,2.953
7.402,2.953
7.402,2.953
7.402,2.992
7.402,2.992
7.402,2.913
7.402,2.953
7.402,2.953
7.480,2.953
7.480,2.953
7.480,2.953
7.480,2.913
7.480,2.953
7.480,2.953
7.559,2.953
7.559,2.953
7.559,2.953
7.559,2.953
7.559,2.953
7.638,2.953
7.638,2.953
7.638,2.953
7.638,2.953
7.638,2.953
7.638,2.953
7.638,2.953
7.638,2.953
7.638,2.953
7.638,2.953
7.717,2.953
7.717,2.953
7.717,2.953
7.717,2.953
7.717,3.031
7.717,2.953
7.717,2.953
7.717,3.031
7.795,2.992
7.795,2.953
7.795,3.031
7.795,3.071
7.795,2.953
7.795,3.031
7.795,3.071
7.795,3.031
7.874,2.992
7.874,3.071
7.874,3.071
7.874,3.031
7.874,3.031
7.874,3.071
7.953,3.071
7.953,3.031
7.874,3.071
7.874,3.071
7.874,3.071
7.953,3.071
7.953,3.110
7.953,3.110
7.953,3.071
7.953,3.110
7.953,3.110
7.953,3.071
7.953,3.071
7.953,3.110
8.031,3.110
7.953,3.071
8.031,3.110
7.953,3.110
7.953,3.110
7.953,3.110
8.031,3.110
8.031,3.110
8.031,3.071
8.031,3.071
8.031,3.110
8.031,3.031
8.031,3.110
8.110,3.110
8.110,3.031
8.110,3.110
8.110,3.071
8.110,3.110
8.110,3.110
8.110,3.031
8.110,3.110
8.110,3.031
8.110,3.071
8.110,3.071
8.110,3.031
8.189,3.071
8.189,3.071
8.189,3.031
8.189,3.071
8.189,3.031
8.268,3.031
8.189,3.031
8.189,3.031
8.268,2.992
8.189,3.031
8.189,3.031
8.268,3.031
8.268,2.992
8.268,2.953
8.268,3.031
8.268,2.953
8.268,2.953
8.268,3.031
8.268,2.953
8.268,2.953
8.268,2.992
8.268,2.953
8.268,2.913
8.268,2.953
8.346,2.953
8.346,2.953
8.346,2.913
8.346,2.913
8.346,2.953
8.346,2.913
8.346,2.913
8.346,2.913
8.346,2.913
8.346,2.913
8.346,2.913
8.425,2.913
8.346,2.913
8.425,2.874
8.425,2.913
8.425,2.913
8.425,2.874
8.425,2.874
8.425,2.913
8.425,2.874
8.504,2.874
8.425,2.913
8.504,2.874
8.504,2.874
8.504,2.913
8.425,2.874
8.583,2.874
8.583,2.874
8.583,2.874
8.583,2.874
8.583,2.874
8.583,2.913
8.583,2.874
8.583,2.874
8.583,2.913
8.583,2.913
8.583,2.874
8.583,2.874
8.583,2.913
8.583,2.874
8.583,2.874
8.583,2.913
8.583,2.913
8.661,2.913
8.661,2.913
8.583,2.913
8.583,2.953
8.661,2.913
8.661,2.913
8.661,2.913
8.661,2.913
8.661,2.913
8.661,2.953
8.661,2.913
8.661,2.913
8.661,2.953
8.661,2.913
8.661,2.953
8.661,2.913
8.661,2.953
8.661,2.953
8.740,2.953
8.661,2.953
8.740,2.953
8.661,2.913
8.740,2.953
8.740,2.913
8.740,2.953
8.740,2.953
8.740,2.913
8.740,2.953
8.740,2.953
8.740,2.953
8.740,2.953
8.740,2.953
8.740,2.913
8.740,2.953
8.740,2.953
8.819,2.913
8.740,2.953
8.740,2.953
8.819,2.874
8.819,2.913
8.819,2.913
8.819,2.874
8.819,2.953
8.819,2.913
8.819,2.913
8.819,2.953
8.819,2.874
8.819,2.953
8.898,2.795
8.819,2.953
8.819,2.913
8.819,2.874
8.819,2.953
8.819,2.874
8.898,2.874
8.898,2.913
8.819,2.874
8.898,2.874
8.898,2.874
8.819,2.913
8.898,2.874
8.898,2.874
8.898,2.874
8.898,2.874
8.898,2.874
8.898,2.874
8.898,2.874
8.898,2.835
8.898,2.874
8.898,2.835
8.898,2.835
8.898,2.835
8.898,2.835
8.898,2.835
8.898,2.795
8.898,2.795
8.898,2.795
8.898,2.795
8.898,2.795
8.976,2.795
8.898,2.795
8.898,2.795
8.976,2.795
8.898,2.795
8.898,2.795
8.898,2.795
8.898,2.795
8.976,2.795
8.976,2.795
8.976,2.795
8.976,2.795
8.898,2.795
8.976,2.795
8.976,2.795
8.976,2.795
8.976,2.795
8.976,2.795
8.976,2.795
8.976,2.795
8.976,2.795
8.976,2.795
8.976,2.795
8.976,2.795
8.976,2.795
8.976,2.795
8.976,2.795
8.976,2.835
8.976,2.795
8.976,2.795
8.976,2.874
8.976,2.795
8.976,2.795
9.055,2.874
8.976,2.874
8.976,2.795
8.976,2.795
8.976,2.874
8.976,2.795
8.976,2.795
8.976,2.835
8.976,2.874
8.976,2.874
8.976,2.795
8.976,2.913
8.976,2.874
8.976,2.795
9.055,2.913
8.976,2.835
8.976,2.874
8.976,2.874
9.055,2.874
8.976,2.913
8.976,2.795
8.976,2.874
8.976,2.913
8.976,2.874
9.055,2.874
9.055,2.913
9.055,2.874
9.055,2.874
8.976,2.874
8.976,2.874
9.055,2.874
9.055,2.874
8.976,2.913
9.055,2.874
8.976,2.874
9.055,2.874
8.976,2.913
8.976,2.953
8.976,2.795
8.976,2.953
8.976,2.874
8.976,2.913
8.976,2.874
9.055,2.874
9.055,2.795
8.976,2.874
8.976,2.874
9.055,2.874
9.055,2.874
9.055,2.874
9.055,2.913
9.055,2.874
9.055,2.874
9.055,2.874
9.055,2.874
9.055,2.874
9.055,2.874
9.055,2.874
9.055,2.874
9.055,2.874
9.055,2.835
8.976,2.874
9.055,2.874
9.055,2.874
9.055,2.795
9.134,2.835
9.055,2.835
9.055,2.874
9.055,2.795
9.055,2.795
9.055,2.795
9.055,2.795
9.134,2.795
9.055,2.795
9.055,2.795
9.134,2.795
9.055,2.795
9.055,2.795
9.055,2.795
9.055,2.795
9.134,2.795
9.134,2.795
9.134,2.795
9.134,2.795
9.134,2.795
9.134,2.795
9.134,2.795
9.055,2.795
9.134,2.756
9.134,2.795
9.055,2.795
9.055,2.756
9.134,2.756
9.134,2.756
9.134,2.756
9.134,2.717
9.134,2.756
9.134,2.756
9.055,2.756
9.134,2.717
9.134,2.756
9.134,2.756
9.055,2.756
9.134,2.756
9.055,2.756
9.134,2.717
9.055,2.756
9.134,2.756
9.134,2.756
9.213,2.717
9.134,2.717
9.134,2.756
9.134,2.756
9.134,2.717
9.134,2.756
9.134,2.756
9.134,2.717
9.134,2.795
9.134,2.717
9.134,2.717
9.134,2.756
9.134,2.756
9.134,2.756
9.134,2.717
9.134,2.756
9.134,2.756
9.134,2.717
9.134,2.756
9.134,2.795
9.213,2.756
9.134,2.717
9.134,2.795
9.134,2.756
9.134,2.795
9.134,2.756
9.134,2.756
9.213,2.756
9.134,2.717
9.134,2.835
9.134,2.717
9.134,2.756
9.134,2.795
9.134,2.717
9.134,2.795
9.134,2.756
9.134,2.756
9.134,2.795
9.134,2.756
9.134,2.795
9.134,2.795
9.134,2.756
9.134,2.795
9.134,2.756
9.134,2.795
9.134,2.795
9.134,2.795
9.134,2.795
9.134,2.795
9.134,2.795
9.134,2.795
9.134,2.795
9.134,2.795
9.134,2.795
9.055,2.795
9.134,2.795
9.055,2.795
9.134,2.795
9.134,2.795
9.055,2.795
9.055,2.795
9.055,2.795
9.134,2.795
9.055,2.756
9.055,2.795
9.055,2.795
9.055,2.795
9.055,2.795
9.134,2.795
9.055,2.756
9.055,2.756
9.055,2.795
9.055,2.756
9.055,2.756
9.055,2.756
9.055,2.756
9.055,2.795
9.055,2.795
9.055,2.756
9.055,2.795
9.055,2.717
9.055,2.756
9.055,2.756
9.055,2.756
9.055,2.756
9.055,2.756
9.055,2.756
9.055,2.756
9.055,2.756
9.055,2.756
9.055,2.756
9.055,2.756
9.055,2.756
9.055,2.756
9.055,2.756
9.055,2.756
8.976,2.756
9.055,2.756
9.055,2.717
9.055,2.756
9.055,2.756
9.055,2.717
8.976,2.756
8.976,2.717
9.055,2.756
8.976,2.756
8.976,2.717
8.976,2.756
9.055,2.756
8.976,2.677
8.976,2.756
8.976,2.717
8.976,2.717
8.976,2.717
8.976,2.717
8.976,2.795
8.976,2.717
8.976,2.677
8.976,2.795
8.976,2.795
8.976,2.638
8.976,2.756
8.976,2.795
8.976,2.717
8.976,2.677
8.976,2.756
8.976,2.756
8.976,2.677
8.976,2.638
8.976,2.874
8.976,2.717
8.976,2.677
8.976,2.795
8.976,2.717
8.976,2.717
8.976,2.717
8.976,2.756
8.976,2.756
8.898,2.677
8.898,2.795
8.898,2.756
8.898,2.717
8.898,2.795
8.898,2.756
8.898,2.756
8.898,2.756
8.976,2.756
8.898,2.756
8.976,2.756
8.898,2.756
8.898,2.756
8.898,2.756
8.898,2.756
8.976,2.795
8.898,2.756
8.898,2.717
8.898,2.756
8.898,2.756
8.898,2.795
8.898,2.756
8.898,2.756
8.898,2.795
8.898,2.756
8.898,2.756
8.898,2.756
8.898,2.756
8.898,2.756
8.898,2.756
8.898,2.756
8.898,2.756
8.898,2.756
8.898,2.756
8.898,2.756
8.898,2.756
8.898,2.756
8.898,2.756
8.898,2.756
8.898,2.756
8.898,2.756
8.898,2.756
8.898,2.717
8.898,2.756
8.898,2.717
8.898,2.756
8.898,2.717
8.898,2.756
8.898,2.717
8.898,2.717
8.819,2.717
8.819,2.717
8.819,2.717
8.898,2.717
8.819,2.717
8.898,2.717
8.898,2.638
8.819,2.717
8.819,2.756
8.819,2.638
