; CSV, generated by libsigrok4DSL 0.2.0 on Wed May 19 11:35:33 2021
; Channels (2/2)
; Sample rate: 5 MHz
; Sample count: 10 k Samples
I[10A], Ue[V]
3.622,3.701
3.661,3.701
3.661,3.701
3.622,3.701
3.622,3.622
3.622,3.622
3.622,3.701
3.661,3.701
3.661,3.622
3.622,3.701
3.661,3.622
3.622,3.701
3.661,3.701
3.661,3.701
3.661,3.701
3.661,3.701
3.661,3.701
3.661,3.701
3.622,3.701
3.661,3.622
3.661,3.701
3.661,3.701
3.661,3.622
3.661,3.701
3.661,3.701
3.661,3.622
3.661,3.701
3.661,3.622
3.661,3.622
3.661,3.622
3.661,3.701
3.661,3.622
3.661,3.622
3.701,3.622
3.661,3.622
3.701,3.622
3.661,3.622
3.701,3.701
3.701,3.622
3.701,3.622
3.701,3.622
3.701,3.622
3.701,3.543
3.701,3.622
3.701,3.622
3.701,3.622
3.740,3.622
3.701,3.622
3.701,3.622
3.701,3.543
3.701,3.622
3.701,3.622
3.701,3.622
3.701,3.622
3.701,3.622
3.701,3.622
3.701,3.622
3.701,3.622
3.701,3.622
3.701,3.622
3.701,3.622
3.701,3.622
3.701,3.622
3.701,3.622
3.701,3.622
3.701,3.701
3.701,3.622
3.701,3.701
3.701,3.543
3.701,3.622
3.701,3.701
3.701,3.622
3.701,3.622
3.701,3.622
3.701,3.622
3.701,3.622
3.740,3.622
3.740,3.622
3.740,3.622
3.740,3.622
3.740,3.622
3.740,3.622
3.740,3.622
3.740,3.622
3.740,3.622
3.740,3.622
3.740,3.622
3.740,3.543
3.740,3.622
3.780,3.543
3.780,3.543
3.780,3.622
3.740,3.622
3.780,3.622
3.780,3.622
3.780,3.622
3.780,3.622
3.740,3.622
3.780,3.622
3.780,3.622
3.819,3.622
3.780,3.622
3.780,3.622
3.780,3.622
3.780,3.622
3.780,3.622
3.780,3.622
3.740,3.622
3.780,3.622
3.780,3.622
3.780,3.622
3.780,3.622
3.780,3.622
3.780,3.622
3.780,3.701
3.780,3.622
3.740,3.622
3.780,3.543
3.780,3.701
3.780,3.622
3.780,3.622
3.780,3.701
3.780,3.622
3.780,3.622
3.780,3.701
3.780,3.622
3.780,3.622
3.780,3.701
3.780,3.701
3.780,3.622
3.780,3.622
3.819,3.622
3.780,3.701
3.780,3.622
3.819,3.622
3.819,3.622
3.819,3.622
3.819,3.622
3.819,3.701
3.819,3.622
3.819,3.622
3.819,3.543
3.819,3.622
3.819,3.622
3.819,3.622
3.819,3.622
3.819,3.622
3.819,3.622
3.819,3.622
3.819,3.622
3.819,3.622
3.819,3.622
3.819,3.622
3.819,3.622
3.819,3.622
3.819,3.622
3.819,3.622
3.819,3.622
3.819,3.622
3.819,3.622
3.819,3.622
